Periodo,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2022
I,3.5197,1.9105,2.8748,3.0681,5.0227,2.7712,2.4995,2.5998,5.8477,3.5752,3.6362,1.6038,2.2283,2.362,5.3257,1.6212,1.8584,2.9603,4.2039,1.5727,3.0714,3.6242,3.0102,2.945,2.6595,2.857,4.7906,3.7774,4.3862,2.5969,2.1965,2.7876
II,3.7681975,2.50983702,2.73295353,2.95330073,4.02556783,2.56226011,2.58906444,2.45553268,5.3983559,3.26514005,2.93239965,1.4893519,2.64529193,2.34432431,4.21644883,1.72564356,2.12955527,2.46998995,3.69941541,1.44446774,2.96205287,4.28470286,2.85172706,3.30135346,2.94486557,3.06691953,5.67371547,3.40257747,3.84878712,2.92668402,1.65477027,3.29804247
III,4.03922817,2.59254362,2.86790431,2.2977209,4.24342442,2.6098454,2.2884669,2.46536404,5.25199988,3.25674844,4.01364072,1.7187504,2.30357053,2.81465104,4.83120066,1.8510605,2.39592541,2.75796275,4.06228081,1.40694004,2.73089755,3.81932688,2.9265971,3.37770619,3.33011344,3.81533691,5.2553575,3.66340975,3.77758131,3.06521808,2.0484404,2.74256441
IV,3.76755537,2.70224496,2.85078533,1.97640992,3.41465789,2.3576337,2.3269792,1.98905534,4.53060485,3.08719657,3.07080418,0.80639112,2.20085081,2.36227638,4.46142165,1.66850746,2.72604252,2.38037886,3.57181149,1.28337521,2.79282439,3.62621647,1.97189348,2.71251061,2.78627805,2.5478531,4.18141847,3.12071579,3.3307172,2.35307362,1.98832972,2.35997487
2023
I,3.0196229,1.71221553,2.7593624,1.7623954,3.62833223,2.13477577,2.48800961,2.78441477,3.75255087,2.9873727,2.89609958,1.79718728,2.51058923,2.15357482,3.37042086,1.66122972,1.4575937,1.90105264,3.12374726,1.35270949,2.15020008,2.48381131,2.53063984,2.00481897,2.00870073,2.86232559,3.82906956,2.76848363,3.24644488,2.41655619,1.94652877,3.36928656
II,3.19796438,2.30742776,2.70069693,1.75904768,3.70272669,2.20655045,1.83913388,2.47851791,4.36954728,2.87200783,3.40809631,0.94909533,2.74172012,2.45553772,3.64443796,1.99521023,1.81078758,2.14951517,3.37416525,1.22087151,2.24190566,3.27317369,2.40181981,2.81226611,2.22653488,2.58870408,4.05393331,3.15173856,3.40586538,2.13843387,1.57681292,2.93788917
III,3.17738151,2.43888782,3.18615749,1.81924446,3.87742458,2.55965326,2.47877126,2.81497544,4.06649644,3.0968583,3.17500295,1.14981711,2.61026238,2.96040795,4.0276052,1.96522439,2.33036086,2.30656884,3.21641386,1.93502967,2.63941318,2.91510315,2.74015944,3.06639891,3.0103225,2.93751345,3.98275201,3.31719673,3.68407131,1.98404785,2.09372688,2.35833993
IV,3.50581333,2.24539394,2.26333947,1.7151124,4.33967565,2.30336151,1.73475884,1.92982532,3.90903658,2.82041279,3.06176364,0.76678527,1.82158099,2.20220655,3.52911054,2.09188196,1.84692657,2.0540567,2.686159,1.5406963,2.6080243,2.90736704,2.61153679,3.11087274,2.2773166,2.82164044,3.84846102,3.25942614,3.00422899,1.89537524,1.77690255,2.82251059
2024
I,3.00037541,2.12566465,2.22077542,1.56255849,4.16703131,2.10576973,1.69758676,2.23835464,3.97080511,3.0459431,3.13756574,1.16993693,2.1629558,1.42080725,3.6474478,1.71727023,1.5702308,1.97023477,2.94408508,1.42194562,1.73356152,2.64591308,2.18410709,2.3051549,1.85963645,2.61548211,3.41935218,3.0852136,3.14980214,1.65543156,1.63492864,2.72161968
II,3.35991714,2.73771116,2.41335402,1.9977889,3.71413003,2.11135547,1.57472109,2.53466832,4.04015822,2.81245681,2.91858953,1.04264766,2.44325792,2.20269883,3.28371906,1.72129256,1.57683832,2.15336459,2.59789835,1.19959282,2.32990621,2.74864905,2.63291196,2.64475039,2.4113884,3.62005272,4.01803648,3.43003837,2.44875936,2.0118812,1.75344176,2.87226252
III,4.23455225,2.72332093,2.52047719,1.9509284,4.14879442,2.33961675,1.96987321,2.62463011,3.96468147,3.29465232,3.35085509,1.31717192,1.90926674,2.62677628,3.99432978,2.230238,1.92952038,2.71780603,3.55908681,1.04523283,2.59801411,2.39462126,2.5896746,3.65963015,2.76328099,3.57185705,4.42798865,3.33995222,3.61462761,2.44104017,2.0699258,2.55259011
IV,2.26459755,2.45910171,1.88888099,1.89742395,3.50216284,2.23416651,2.7596629,2.12125654,3.9891848,3.06208921,2.29867147,1.29229698,1.8124402,2.12889246,2.90068192,1.45828199,2.12403113,2.00958266,2.60779939,1.87343314,2.22527216,2.06927318,2.6682314,3.15122976,2.10464782,2.90386777,4.13845781,3.01479224,2.56064084,2.29542694,1.56092505,2.68859309
2025
I,2.14312781,2.16423293,2.82830507,2.06643315,3.54693521,2.43364255,2.47433867,2.04531237,3.43044811,3.44723352,2.5425498,0.8829222,1.94817225,1.69042901,2.73593217,1.17137182,1.05040859,2.43343599,2.75448635,1.63216312,2.51232002,1.97769271,2.38196431,3.1846564,2.74549311,2.56515489,4.9393897,3.39038296,2.53972285,1.96373665,1.52775683,2.88094463
"Nota:La información hasta marzo de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE), de abril a junio de 2020 corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE) y a partir de julio de 2020 la información se genera con la Encuesta Nacional de Ocupación y Empleo (Nueva edición) (ENOE(N)). La información proporcionada a partir de enero de 2021 y de enero de 2017 a diciembre de 2020, se construye con base en las estimaciones poblacionales generadas por el Marco Muestreo del INEGI. La información de enero de 2005 a diciembre de 2016 toma en cuenta la estimación de población con base en las proyecciones demográficas de CONAPO, creadas en 2013.Fuente:INEGI. Encuesta Nacional de Ocupación y Empleo (ENOE) / Encuesta Telefónica de Ocupación y Empleo (ETOE) / Encuesta Nacional de Ocupación y Empleo (Nueva edición) (ENOE-N).Fecha de actualización: Martes, 27 de Mayo de 2025"
